Internet users (per 100 people),1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Ireland,0,0.0568505385,0.1692511017,0.2803305826,0.5578016419,1.109036524,2.1998744043,4.0834582145,8.0829066478,10.9226237287,17.8439278415,23.1362806068,25.875206062,34.4300607603,37.130080383,41.5912751129,54.3836239775,59.6373162439,64.2649427083,66.6733848029,69.7804365589,77.484312378
Isle of Man,,,,,,,,,,,,,,,,,,,,,,
Israel,0.1069692593,0.2013244311,0.2914584188,0.3779980247,0.5518899527,0.8946959028,2.0901867485,4.2447063737,9.9516736811,12.9258037366,19.9642019035,16.5481879824,16.8766205723,18.6046180569,21.6409437024,24.0106011667,26.7009718241,46.3858372022,57.6309547887,61.2257001282,65.6831418228,68.1655974349
Italy,0.0175795437,0.0351235109,0.0701743882,0.1226898145,0.192716666,0.5255543045,1.0246947334,2.2766549131,4.5540960024,14.3676383186,23.1288220512,27.3281833109,28.2075122632,29.1709083887,33.2905508141,35.0383180056,38.0806226017,40.8724067342,44.5741339267,48.8753930721,53.7398745232,56.817472753
Jamaica,0,,,,0.0365078249,0.1086719468,0.5851985388,0.7898632313,1.96074827,2.3407851803,3.1064639211,3.8623268871,6.1197455684,7.8611030201,10.1015768925,12.9509351041,16.6046628365,21.3621295314,23.8905385531,24.6170827274,28.0667982237,31.988004097
Japan,0.0200824592,0.0400405874,0.095859763,0.3984336456,0.7941593014,1.5822597205,4.3400870154,9.0904482847,13.2989712048,21.2023948316,29.7189656739,38.1516232411,46.0835883401,47.8535743428,61.6801429996,66.1982622349,67.9910784511,73.5700511252,74.7154581484,77.3846896326,77.6487929573,78.7086520137
Jersey,,,,,,,,,,,,,,,,,,,,,,
Jordan,0,,,,,0.0242696433,0.0468611402,0.6191791201,1.3299239482,2.5652982373,2.6394585293,4.6985961693,5.9781366599,8.3558190757,11.4832409483,12.7667599546,13.7622151423,20.0192264218,23.2462236046,26.4861186813,27.8307548206,35.7422582268
Kazakhstan,0,,,,0.0005218856,0.0113811261,0.0320995917,0.0652328046,0.1327557849,0.4690649754,0.6718767248,1.0087874886,1.6795861336,2.0071306043,2.657545946,2.9665519574,3.2692760249,4.0178973407,10.9869086377,17.9145796487,31.0251971432,44.0441800774
Kenya,0,,,,,0.0007274822,0.0088391149,0.0344060509,0.0502613877,0.1142560282,0.3180597136,0.6197822662,1.2077738849,2.941902861,3.0235280421,3.1018977025,7.5337897198,7.95,8.67,10.04,14,28
